자치구,동,지하철 주변 버스정류장 수,
용산구,이태원1동,0,"이태원, 녹사평"
용산구,이태원2동,0,"이태원, 녹사평, 한강진"
용산구,서빙고동,0,"서빙고, 고속터미널, 이태원"
용산구,보광동,0,"이태원, 녹사평, 잠운"
용산구,청파동,4,"시청, 서울, 충정로"
용산구,원효로1동,0,"용산, 숙대입구, 공덕"
용산구,한강로동,9,"용산, 삼각지, 신용산"
용산구,한남동,5,"한강진, 한남"
성동구,왕십리2동,0,"상왕십리, 왕십리, 신당"
성동구,마장동,8,"마장, 왕십리, 신설동"
성동구,사근동,3,"왕십리, 행당, 한양대"
성동구,행당1동,2,"왕십리, 행당, 한양대"
성동구,행당2동,2,"왕십리, 행당, 한양대"
성동구,응봉동,0,"응봉, 왕십리, 뚝섬"
성동구,금호1가동,1,"신금호, 왕십리, 옥수"
성동구,금호4가동,0,"금호, 옥수, 약수"
성동구,성수1가1동,6,"뚝섬, 서울숲"
성동구,성수1가2동,5,"뚝섬, 서울숲"
성동구,성수2가1동,2,"성수, 건대입구"
성동구,성수2가3동,0,"성수, 건대입구"
성동구,송정동,0,"답심리, 신답, 용답"
성동구,용답동,2,"답심리, 신답, 용답"
성동구,왕십리도선동,2,"상왕십리, 왕십리"
성동구,금호2.3가동,1,"신금호, 금호"
성동구,옥수동,1,옥수
광진구,화양동,7,"건대입구, 어린이대공원"
광진구,군자동,2,"군자, 어린이대공원"
광진구,중곡1동,0,"중곡, 군자"
광진구,중곡2동,0,"중곡, 군자"
광진구,중곡3동,0,"중곡, 군자"
광진구,중곡4동,0,"중곡, 군자"
광진구,능동,3,"아차산, 군자, 어린이대공원"
광진구,구의1동,0,"구의, 강변, 아차산"
광진구,구의2동,0,"구의, 강변, 아차산"
광진구,구의3동,0,"구의, 강변, 아차산"
광진구,광장동,3,광나루역
광진구,자양1동,0,"뚝섬유원지, 건대입구, 구의"
광진구,자양2동,0,"뚝섬유원지, 건대입구, 구의"
광진구,자양3동,0,"뚝섬유원지, 건대입구, 구의"
광진구,자양4동,1,"뚝섬유원지, 건대입구, 구의"
동대문구,회기동,0,"청량리, 회기, 외대앞"
동대문구,휘경1동,0,"회기, 외대앞"
동대문구,휘경2동,0,"회기, 외대앞"
동대문구,청량리동,1,"청량리, 회기, 고려대"
동대문구,용신동,1,"신설동, 용두, 제기동"
동대문구,제기동,4,"제기동, 고려대, 청량리"
동대문구,전농1동,0,"청량리, 회기"
동대문구,전농2동,0,"청량리, 회기"
동대문구,답십리1동,3,"답심리, 장한평"
동대문구,답십리2동,0,"답심리, 장한평"
동대문구,장안1동,0,장한평
동대문구,장안2동,0,장한평
동대문구,이문1동,2,"외대앞, 신이문"
동대문구,이문2동,0,"외대앞, 신이문"
중랑구,면목2동,0,"사가정, 면목, 용마산"
중랑구,면목4동,3,"사가정, 면목, 용마산"
중랑구,면목5동,0,"사가정, 면목, 용마산"
중랑구,면목7동,2,"사가정, 면목, 용마산"
중랑구,상봉1동,1,"상봉, 망우"
중랑구,상봉2동,2,"상봉, 망우"
중랑구,중화1동,2,"중랑, 중화"
중랑구,중화2동,2,"중랑, 중화"
중랑구,묵1동,3,"먹골, 화랑대"
중랑구,묵2동,2,"먹골, 화랑대"
중랑구,망우3동,0,"양원, 신내"
중랑구,신내1동,0,"봉화산, 신내"
중랑구,신내2동,3,"봉화산, 신내"
중랑구,면목본동,3,"사가정, 면목, 용마산"
중랑구,면목3.8동,1,"사가정, 면목, 용마산"
중랑구,망우본동,4,"양원, 신내"
성북구,돈암1동,2,"성신여대입구, 미아사거리, 길음"
성북구,돈암2동,0,"성신여대입구, 혜화, 한성대입구"
성북구,안암동,0,"안암, 성신여대입구, 동대문"
성북구,보문동,2,"보문, 성신여대입구, 동대문"
성북구,정릉1동,0,"북하산보국문, 정릉"
성북구,정릉2동,0,"북하산보국문, 정릉"
성북구,정릉3동,0,"북하산보국문, 정릉"
성북구,정릉4동,0,"북하산보국문, 정릉"
성북구,길음1동,3,"길음, 성신여대입구"
성북구,길음2동,3,"길음, 월곡"
성북구,월곡1동,0,"월곡, 길음"
성북구,월곡2동,2,"월곡, 상월곡, 길음"
성북구,장위1동,0,"돌곶이, 미아사거리"
성북구,장위2동,1,"돌곶이, 석계"
성북구,장위3동,0,"돌곶이, 석계, 광운대"
성북구,성북동,2,"한성대입구, 성신여대입구, 혜화"
성북구,삼선동,0,"한성대입구, 성신여대입구"
성북구,동선동,2,"성신여대입구, 혜화"
성북구,종암동,0,"고려대, 성신여대입구, 청량리"
성북구,석관동,7,"돌곶이, 석계"
강북구,번1동,0,"수유, 쌍문, 미아"
강북구,번2동,0,"수유, 미아사거리, 미아"
강북구,번3동,0,"미아사거리, 돌곶이, 월계"
강북구,수유1동,0,"수유, 미아, 가오리"
강북구,수유2동,1,"수유, 쌍문, 4.19민주묘지"
강북구,수유3동,0,"수유, 쌍문, 미아"
강북구,삼양동,2,"미아사거리, 미아, 삼양사거리"
강북구,미아동,7,"미아사거리, 미아, 삼양사거리"
강북구,송중동,2,"미아사거리, 미아, 삼양사거리"
강북구,송천동,1,"미아사거리, 미아, 삼양사거리"
강북구,삼각산동,0,"미아사거리, 미아, 삼양사거리"
강북구,우이동,1,"북한산우이, 4.19민주묘지, 솔밭공원"
강북구,인수동,0,"수유, 가오리, 화계"
도봉구,쌍문1동,0,"쌍문, 솔밭공원, 수유"
도봉구,쌍문2동,0,"쌍문, 솔밭공원, 창동"
도봉구,쌍문3동,0,"쌍문, 솔밭공원, 수유"
도봉구,쌍문4동,0,"쌍문, 솔밭공원, 가오리"
도봉구,방학1동,2,"방학, 창동, 수락산"
도봉구,방학2동,0,"방학, 창동 "
도봉구,방학3동,0,"방학, 쌍문, 북한산우이"
도봉구,창1동,1,"창동, 쌍문, 녹천"
도봉구,창2동,0,"창동, 쌍문, 녹천"
도봉구,창3동,0,"창동, 쌍문, 녹천"
도봉구,창4동,4,"창동, 쌍문, 녹천"
도봉구,창5동,0,"창동, 쌍문, 녹천"
도봉구,도봉1동,0,"도봉산, 도봉"
도봉구,도봉2동,5,"도봉산, 도봉"
노원구,월계1동,4,"석계, 광운대, 월계"
노원구,월계2동,0,"석계, 광운대, 월계"
노원구,월계3동,1,"석계, 광운대, 월계"
노원구,공릉2동,2,"태릉입구, 공릉, 화랑대"
노원구,하계1동,0,"하계, 노원"
노원구,하계2동,0,"하계, 노원"
