자치구,동,지하철 주변 버스정류장 수,자치구 내 지하철역
광진구,자양1동,0,"구의, 건대입구, 아차산, 강변, 군자, 뚝섬유원지, 광나루, 어린이대공원, 중곡"
광진구,자양2동,0,"구의, 건대입구, 아차산, 강변, 군자, 뚝섬유원지, 광나루, 어린이대공원, 중곡"
광진구,자양3동,0,"구의, 건대입구, 아차산, 강변, 군자, 뚝섬유원지, 광나루, 어린이대공원, 중곡"
광진구,자양4동,1,"구의, 건대입구, 아차산, 강변, 군자, 뚝섬유원지, 광나루, 어린이대공원, 중곡"
동대문구,회기동,0,"장한평, 신설동, 청량리, 회기, 제기동, 외대앞, 신이문, 용두, 고려대, 답십리"
동대문구,휘경1동,0,"장한평, 신설동, 청량리, 회기, 제기동, 외대앞, 신이문, 용두, 고려대, 답십리"
동대문구,휘경2동,0,"장한평, 신설동, 청량리, 회기, 제기동, 외대앞, 신이문, 용두, 고려대, 답십리"
동대문구,청량리동,1,"장한평, 신설동, 청량리, 회기, 제기동, 외대앞, 신이문, 용두, 고려대, 답십리"
동대문구,용신동,1,"장한평, 신설동, 청량리, 회기, 제기동, 외대앞, 신이문, 용두, 고려대, 답십리"
동대문구,제기동,4,"장한평, 신설동, 청량리, 회기, 제기동, 외대앞, 신이문, 용두, 고려대, 답십리"
동대문구,전농1동,0,"장한평, 신설동, 청량리, 회기, 제기동, 외대앞, 신이문, 용두, 고려대, 답십리"
동대문구,전농2동,0,"장한평, 신설동, 청량리, 회기, 제기동, 외대앞, 신이문, 용두, 고려대, 답십리"
동대문구,답십리1동,3,"장한평, 신설동, 청량리, 회기, 제기동, 외대앞, 신이문, 용두, 고려대, 답십리"
동대문구,답십리2동,0,"장한평, 신설동, 청량리, 회기, 제기동, 외대앞, 신이문, 용두, 고려대, 답십리"
동대문구,장안1동,0,"장한평, 신설동, 청량리, 회기, 제기동, 외대앞, 신이문, 용두, 고려대, 답십리"
동대문구,장안2동,0,"장한평, 신설동, 청량리, 회기, 제기동, 외대앞, 신이문, 용두, 고려대, 답십리"
동대문구,이문1동,2,"장한평, 신설동, 청량리, 회기, 제기동, 외대앞, 신이문, 용두, 고려대, 답십리"
동대문구,이문2동,0,"장한평, 신설동, 청량리, 회기, 제기동, 외대앞, 신이문, 용두, 고려대, 답십리"
중랑구,면목2동,0,"중랑, 사가정, 상봉, 양원, 중화, 면목, 용마산, 먹골, 봉화산, 망우, 신내, 화랑대"
중랑구,면목4동,3,"중랑, 사가정, 상봉, 양원, 중화, 면목, 용마산, 먹골, 봉화산, 망우, 신내, 화랑대"
중랑구,면목5동,0,"중랑, 사가정, 상봉, 양원, 중화, 면목, 용마산, 먹골, 봉화산, 망우, 신내, 화랑대"
중랑구,면목7동,2,"중랑, 사가정, 상봉, 양원, 중화, 면목, 용마산, 먹골, 봉화산, 망우, 신내, 화랑대"
중랑구,상봉1동,1,"중랑, 사가정, 상봉, 양원, 중화, 면목, 용마산, 먹골, 봉화산, 망우, 신내, 화랑대"
중랑구,상봉2동,2,"중랑, 사가정, 상봉, 양원, 중화, 면목, 용마산, 먹골, 봉화산, 망우, 신내, 화랑대"
중랑구,중화1동,2,"중랑, 사가정, 상봉, 양원, 중화, 면목, 용마산, 먹골, 봉화산, 망우, 신내, 화랑대"
중랑구,중화2동,2,"중랑, 사가정, 상봉, 양원, 중화, 면목, 용마산, 먹골, 봉화산, 망우, 신내, 화랑대"
중랑구,묵1동,3,"중랑, 사가정, 상봉, 양원, 중화, 면목, 용마산, 먹골, 봉화산, 망우, 신내, 화랑대"
중랑구,묵2동,2,"중랑, 사가정, 상봉, 양원, 중화, 면목, 용마산, 먹골, 봉화산, 망우, 신내, 화랑대"
중랑구,망우3동,0,"중랑, 사가정, 상봉, 양원, 중화, 면목, 용마산, 먹골, 봉화산, 망우, 신내, 화랑대"
중랑구,신내1동,0,"중랑, 사가정, 상봉, 양원, 중화, 면목, 용마산, 먹골, 봉화산, 망우, 신내, 화랑대"
중랑구,신내2동,3,"중랑, 사가정, 상봉, 양원, 중화, 면목, 용마산, 먹골, 봉화산, 망우, 신내, 화랑대"
중랑구,면목본동,3,"중랑, 사가정, 상봉, 양원, 중화, 면목, 용마산, 먹골, 봉화산, 망우, 신내, 화랑대"
중랑구,면목3.8동,1,"중랑, 사가정, 상봉, 양원, 중화, 면목, 용마산, 먹골, 봉화산, 망우, 신내, 화랑대"
중랑구,망우본동,4,"중랑, 사가정, 상봉, 양원, 중화, 면목, 용마산, 먹골, 봉화산, 망우, 신내, 화랑대"
성북구,돈암1동,2,"성신여대입구, 한성대입구, 길음, 고려대, 돌곶이, 안암, 월곡, 보문, 북한산보국문, 상월곡, 정릉, 석계"
성북구,돈암2동,0,"성신여대입구, 한성대입구, 길음, 고려대, 돌곶이, 안암, 월곡, 보문, 북한산보국문, 상월곡, 정릉, 석계"
성북구,안암동,0,"성신여대입구, 한성대입구, 길음, 고려대, 돌곶이, 안암, 월곡, 보문, 북한산보국문, 상월곡, 정릉, 석계"
성북구,보문동,2,"성신여대입구, 한성대입구, 길음, 고려대, 돌곶이, 안암, 월곡, 보문, 북한산보국문, 상월곡, 정릉, 석계"
성북구,정릉1동,0,"성신여대입구, 한성대입구, 길음, 고려대, 돌곶이, 안암, 월곡, 보문, 북한산보국문, 상월곡, 정릉, 석계"
성북구,정릉2동,0,"성신여대입구, 한성대입구, 길음, 고려대, 돌곶이, 안암, 월곡, 보문, 북한산보국문, 상월곡, 정릉, 석계"
성북구,정릉3동,0,"성신여대입구, 한성대입구, 길음, 고려대, 돌곶이, 안암, 월곡, 보문, 북한산보국문, 상월곡, 정릉, 석계"
성북구,정릉4동,0,"성신여대입구, 한성대입구, 길음, 고려대, 돌곶이, 안암, 월곡, 보문, 북한산보국문, 상월곡, 정릉, 석계"
성북구,길음1동,3,"성신여대입구, 한성대입구, 길음, 고려대, 돌곶이, 안암, 월곡, 보문, 북한산보국문, 상월곡, 정릉, 석계"
성북구,길음2동,3,"성신여대입구, 한성대입구, 길음, 고려대, 돌곶이, 안암, 월곡, 보문, 북한산보국문, 상월곡, 정릉, 석계"
성북구,월곡1동,0,"성신여대입구, 한성대입구, 길음, 고려대, 돌곶이, 안암, 월곡, 보문, 북한산보국문, 상월곡, 정릉, 석계"
성북구,월곡2동,2,"성신여대입구, 한성대입구, 길음, 고려대, 돌곶이, 안암, 월곡, 보문, 북한산보국문, 상월곡, 정릉, 석계"
성북구,장위1동,0,"성신여대입구, 한성대입구, 길음, 고려대, 돌곶이, 안암, 월곡, 보문, 북한산보국문, 상월곡, 정릉, 석계"
성북구,장위2동,1,"성신여대입구, 한성대입구, 길음, 고려대, 돌곶이, 안암, 월곡, 보문, 북한산보국문, 상월곡, 정릉, 석계"
성북구,장위3동,0,"성신여대입구, 한성대입구, 길음, 고려대, 돌곶이, 안암, 월곡, 보문, 북한산보국문, 상월곡, 정릉, 석계"
성북구,성북동,2,"성신여대입구, 한성대입구, 길음, 고려대, 돌곶이, 안암, 월곡, 보문, 북한산보국문, 상월곡, 정릉, 석계"
성북구,삼선동,0,"성신여대입구, 한성대입구, 길음, 고려대, 돌곶이, 안암, 월곡, 보문, 북한산보국문, 상월곡, 정릉, 석계"
성북구,동선동,2,"성신여대입구, 한성대입구, 길음, 고려대, 돌곶이, 안암, 월곡, 보문, 북한산보국문, 상월곡, 정릉, 석계"
성북구,종암동,0,"성신여대입구, 한성대입구, 길음, 고려대, 돌곶이, 안암, 월곡, 보문, 북한산보국문, 상월곡, 정릉, 석계"
성북구,석관동,7,"성신여대입구, 한성대입구, 길음, 고려대, 돌곶이, 안암, 월곡, 보문, 북한산보국문, 상월곡, 정릉, 석계"
강북구,번1동,0,"수유, 미아사거리, 북한산우이, 미아, 4.19민주묘지, 가오리, 솔밭공원, 삼양사거리, 삼양, 솔샘, 화계"
강북구,번2동,0,"수유, 미아사거리, 북한산우이, 미아, 4.20민주묘지, 가오리, 솔밭공원, 삼양사거리, 삼양, 솔샘, 화계"
강북구,번3동,0,"수유, 미아사거리, 북한산우이, 미아, 4.21민주묘지, 가오리, 솔밭공원, 삼양사거리, 삼양, 솔샘, 화계"
강북구,수유1동,0,"수유, 미아사거리, 북한산우이, 미아, 4.22민주묘지, 가오리, 솔밭공원, 삼양사거리, 삼양, 솔샘, 화계"
강북구,수유2동,1,"수유, 미아사거리, 북한산우이, 미아, 4.23민주묘지, 가오리, 솔밭공원, 삼양사거리, 삼양, 솔샘, 화계"
강북구,수유3동,0,"수유, 미아사거리, 북한산우이, 미아, 4.24민주묘지, 가오리, 솔밭공원, 삼양사거리, 삼양, 솔샘, 화계"
강북구,삼양동,2,"수유, 미아사거리, 북한산우이, 미아, 4.25민주묘지, 가오리, 솔밭공원, 삼양사거리, 삼양, 솔샘, 화계"
강북구,미아동,7,"수유, 미아사거리, 북한산우이, 미아, 4.26민주묘지, 가오리, 솔밭공원, 삼양사거리, 삼양, 솔샘, 화계"
강북구,송중동,2,"수유, 미아사거리, 북한산우이, 미아, 4.27민주묘지, 가오리, 솔밭공원, 삼양사거리, 삼양, 솔샘, 화계"
강북구,송천동,1,"수유, 미아사거리, 북한산우이, 미아, 4.28민주묘지, 가오리, 솔밭공원, 삼양사거리, 삼양, 솔샘, 화계"
강북구,삼각산동,0,"수유, 미아사거리, 북한산우이, 미아, 4.29민주묘지, 가오리, 솔밭공원, 삼양사거리, 삼양, 솔샘, 화계"
